exp_UID,plot_UID,gen_id,genotype_name,lot,range_lot,row_lot,plot,plant_id,plant_UID,set
FPWW034,FPWW0340108,609,BODELI,1,2,6,108,1,FPWW0340108_1,SFE
FPWW034,FPWW0340108,609,BODELI,1,2,6,108,2,FPWW0340108_2,SFE
FPWW034,FPWW0340108,609,BODELI,1,2,6,108,3,FPWW0340108_3,SFE
FPWW034,FPWW0340108,609,BODELI,1,2,6,108,4,FPWW0340108_4,SFE
FPWW034,FPWW0340108,609,BODELI,1,2,6,108,5,FPWW0340108_5,SFE
FPWW034,FPWW0340108,609,BODELI,1,2,6,108,6,FPWW0340108_6,SFE
FPWW034,FPWW0340108,609,BODELI,1,2,6,108,7,FPWW0340108_7,SFE
FPWW034,FPWW0340108,609,BODELI,1,2,6,108,8,FPWW0340108_8,SFE
FPWW034,FPWW0340108,609,BODELI,1,2,6,108,9,FPWW0340108_9,SFE
FPWW034,FPWW0340108,609,BODELI,1,2,6,108,10,FPWW0340108_10,SFE
FPWW034,FPWW0340109,456,SPONTAN,1,2,7,109,1,FPWW0340109_1,SFE
FPWW034,FPWW0340109,456,SPONTAN,1,2,7,109,2,FPWW0340109_2,SFE
FPWW034,FPWW0340109,456,SPONTAN,1,2,7,109,3,FPWW0340109_3,SFE
FPWW034,FPWW0340109,456,SPONTAN,1,2,7,109,4,FPWW0340109_4,SFE
FPWW034,FPWW0340109,456,SPONTAN,1,2,7,109,5,FPWW0340109_5,SFE
FPWW034,FPWW0340109,456,SPONTAN,1,2,7,109,6,FPWW0340109_6,SFE
FPWW034,FPWW0340109,456,SPONTAN,1,2,7,109,7,FPWW0340109_7,SFE
FPWW034,FPWW0340109,456,SPONTAN,1,2,7,109,8,FPWW0340109_8,SFE
FPWW034,FPWW0340109,456,SPONTAN,1,2,7,109,9,FPWW0340109_9,SFE
FPWW034,FPWW0340109,456,SPONTAN,1,2,7,109,10,FPWW0340109_10,SFE
FPWW034,FPWW0340144,15110232,CAMINADA & 211.14074,1,2,8,144,1,FPWW0340144_1,SFE
FPWW034,FPWW0340144,15110232,CAMINADA & 211.14074,1,2,8,144,2,FPWW0340144_2,SFE
