"exp_UID","plot_UID","gen_id","genotype_name","lot","range_lot","row_lot","plot","plant_id","plant_UID","set","unique"
"FPWW036","FPWW0360320",11116644,"ACABO",3,6,18,320,1,"FPWW0360320_1","SFE","C1"
"FPWW036","FPWW0360320",11116644,"ACABO",3,6,18,320,2,"FPWW0360320_2","SFE","C2"
"FPWW036","FPWW0360320",11116644,"ACABO",3,6,18,320,3,"FPWW0360320_3","SFE","C3"
"FPWW036","FPWW0360320",11116644,"ACABO",3,6,18,320,4,"FPWW0360320_4","SFE","C4"
"FPWW036","FPWW0360320",11116644,"ACABO",3,6,18,320,5,"FPWW0360320_5","SFE","C5"
"FPWW036","FPWW0360320",11116644,"ACABO",3,6,18,320,6,"FPWW0360320_6","SFE","C6"
"FPWW036","FPWW0360320",11116644,"ACABO",3,6,18,320,7,"FPWW0360320_7","SFE","C7"
"FPWW036","FPWW0360320",11116644,"ACABO",3,6,18,320,8,"FPWW0360320_8","SFE","C8"
"FPWW036","FPWW0360320",11116644,"ACABO",3,6,18,320,9,"FPWW0360320_9","SFE","C9"
"FPWW036","FPWW0360320",11116644,"ACABO",3,6,18,320,10,"FPWW0360320_10","SFE","C10"
"FPWW036","FPWW0360289",11115890,"ALPVAL",3,2,17,289,1,"FPWW0360289_1","SFE","C11"
"FPWW036","FPWW0360289",11115890,"ALPVAL",3,2,17,289,2,"FPWW0360289_2","SFE","C12"
"FPWW036","FPWW0360289",11115890,"ALPVAL",3,2,17,289,3,"FPWW0360289_3","SFE","C13"
"FPWW036","FPWW0360289",11115890,"ALPVAL",3,2,17,289,4,"FPWW0360289_4","SFE","C14"
"FPWW036","FPWW0360289",11115890,"ALPVAL",3,2,17,289,5,"FPWW0360289_5","SFE","C15"
"FPWW036","FPWW0360289",11115890,"ALPVAL",3,2,17,289,6,"FPWW0360289_6","SFE","C16"
"FPWW036","FPWW0360289",11115890,"ALPVAL",3,2,17,289,7,"FPWW0360289_7","SFE","C17"
"FPWW036","FPWW0360289",11115890,"ALPVAL",3,2,17,289,8,"FPWW0360289_8","SFE","C18"
"FPWW036","FPWW0360289",11115890,"ALPVAL",3,2,17,289,9,"FPWW0360289_9","SFE","C19"
"FPWW036","FPWW0360289",11115890,"ALPVAL",3,2,17,289,10,"FPWW0360289_10","SFE","C20"
"FPWW036","FPWW0360312",546,"ALPVAL",3,14,18,312,1,"FPWW0360312_1","SFE","C21"
"FPWW036","FPWW0360312",546,"ALPVAL",3,14,18,312,2,"FPWW0360312_2","SFE","C22"
"FPWW036","FPWW0360312",546,"ALPVAL",3,14,18,312,3,"FPWW0360312_3","SFE","C23"
"FPWW036","FPWW0360312",546,"ALPVAL",3,14,18,312,4,"FPWW0360312_4","SFE","C24"
"FPWW036","FPWW0360312",546,"ALPVAL",3,14,18,312,5,"FPWW0360312_5","SFE","C25"
"FPWW036","FPWW0360312",546,"ALPVAL",3,14,18,312,6,"FPWW0360312_6","SFE","C26"
"FPWW036","FPWW0360312",546,"ALPVAL",3,14,18,312,7,"FPWW0360312_7","SFE","C27"
"FPWW036","FPWW0360312",546,"ALPVAL",3,14,18,312,8,"FPWW0360312_8","SFE","C28"
"FPWW036","FPWW0360312",546,"ALPVAL",3,14,18,312,9,"FPWW0360312_9","SFE","C29"
"FPWW036","FPWW0360312",546,"ALPVAL",3,14,18,312,10,"FPWW0360312_10","SFE","C30"
